Time,1980-2020-WRF-DIST,SSP545-COOL-FAR,SSP545-HOT-FAR,SSP585-COOL-FAR,SSP585-HOT-FAR
24/10/1981,637.8110736,747.0963364,710.5070975,756.6945258,574.7505996
25/10/1981,761.7206413,860.6832649,667.5029596,828.0615074,733.406649
26/10/1981,804.1354316,878.5323824,894.3349215,719.0860841,910.1182064
27/10/1981,918.2620311,614.493517,917.1756739,843.3066335,878.0781218
28/10/1981,1276.514886,932.2188286,792.5292413,1344.359334,954.2267974
29/10/1981,1367.155385,1008.210805,566.2539195,1554.408411,773.1120711
30/10/1981,1113.447963,740.9383671,415.1196569,1374.28599,597.82126
31/10/1981,793.2011213,518.3862901,331.5596975,944.5923293,434.6139808
01/11/1981,604.755046,409.722904,282.018741,681.5098984,345.3353881
02/11/1981,485.9813865,345.9131414,250.1229963,531.4045195,293.9038238
03/11/1981,399.3429349,296.1677816,222.7679609,428.2502678,254.1033241
04/11/1981,335.772678,258.4009616,201.565814,353.2678134,223.8587079
05/11/1981,290.068608,230.6403073,185.4112779,300.1014649,201.0860903
06/11/1981,336.9871958,229.2819323,177.086991,309.3727584,186.0615829
07/11/1981,409.974382,343.2648825,193.419904,427.549568,208.5007989
08/11/1981,415.7524593,383.6412584,208.6098326,479.1807246,233.9812704
09/11/1981,369.0183391,309.8131056,205.2785104,405.7722879,254.5664146
10/11/1981,328.2376144,277.9725696,243.2344695,358.0609833,230.8634739
11/11/1981,281.0412526,240.8118448,192.1646176,309.0419225,193.1225698
12/11/1981,248.1148986,211.0913541,167.0242294,260.5907426,174.0131498
13/11/1981,224.5590884,191.9057349,153.8976194,231.6062031,158.3480414
14/11/1981,206.7442519,178.845689,144.7262328,209.7052259,147.8394276
15/11/1981,213.5854063,376.7387709,265.586559,306.3735129,425.0961309
16/11/1981,428.4855345,1140.205875,665.0951881,1096.149358,1283.070406
17/11/1981,559.1921283,1064.991989,732.5184233,1060.770708,1062.082955
18/11/1981,449.0580614,844.5511396,533.139282,690.6915824,1005.929367
19/11/1981,394.2497983,745.842059,429.8145721,583.3012158,723.6485455
20/11/1981,358.3940974,600.4490221,385.7921786,517.9503658,541.7816056
21/11/1981,484.0469571,592.038514,388.0760669,513.9106113,477.9573519
22/11/1981,475.0118616,548.5646283,365.7401763,444.2915096,428.4110465
23/11/1981,395.7729973,448.7183865,313.2885769,377.5519905,365.9800906
24/11/1981,327.7535434,370.0725965,262.5942954,322.8814599,310.1445584
25/11/1981,284.6063933,320.2699155,230.2956704,286.3232085,270.0134143
26/11/1981,253.4038609,284.205268,206.6159789,258.5299999,241.6738728
27/11/1981,235.4778851,269.4270969,193.3686741,239.6966801,228.5789528
28/11/1981,231.1335753,264.8186438,201.2889961,236.7280891,235.218763
29/11/1981,214.9744054,233.0363695,192.9925803,226.6697524,222.0798525
30/11/1981,201.2323414,216.356891,174.2651598,208.3644519,197.5371445
01/12/1981,200.2697586,215.2629689,175.0454415,213.60919,192.3657188
02/12/1981,1014.260682,689.7264684,786.6286668,876.4355855,628.0816384
03/12/1981,1160.770231,903.5697119,1157.149451,1128.696545,1127.27419
04/12/1981,894.5823785,789.6718451,935.027751,949.1282624,1021.786716
05/12/1981,662.70886,677.0525036,790.4909679,766.1562508,808.3356599
06/12/1981,512.5335784,630.0513169,766.716257,742.658361,682.8396461
07/12/1981,415.9352433,474.5925063,541.6922263,545.7579064,499.6333745
08/12/1981,384.6100209,390.8115955,467.0265161,440.5401271,446.4931816
09/12/1981,460.7183013,360.7715285,600.2691016,472.7615936,594.4182989
10/12/1981,458.9482601,417.8899214,634.6894305,505.701159,575.6625523
11/12/1981,385.4949445,374.2626904,537.4316633,438.1459328,486.1664894
12/12/1981,324.3262076,317.7464079,440.8292483,368.9434063,409.363802
13/12/1981,291.2956873,284.4868119,377.2462894,324.7360696,359.7423864
14/12/1981,266.0203394,259.2331969,329.6605253,291.9374971,317.4865761
15/12/1981,582.0002721,507.3884511,622.5933753,640.398999,668.2103061
16/12/1981,1126.386122,1129.304046,1175.584907,1243.769673,1411.109071
17/12/1981,1005.606102,1225.512115,1200.794824,1344.561472,1761.501226
18/12/1981,723.0794081,934.047284,925.9777558,1051.649807,1440.06645
19/12/1981,558.0780728,705.4372769,723.456828,791.131558,1079.141794
20/12/1981,447.287055,569.426673,598.046498,631.099504,855.2573216
21/12/1981,383.2519034,467.8939344,490.351067,516.4144394,678.056426
22/12/1981,353.7111179,404.6006659,416.9145143,447.9466958,565.8028748
23/12/1981,458.2671033,423.7576609,413.8399323,501.2306236,601.8874813
24/12/1981,747.8461039,650.6589814,583.4143843,817.828026,727.7710333
25/12/1981,759.30684,781.0665318,671.6022759,858.9687318,828.2291985
26/12/1981,563.4943053,595.0959536,519.1267154,664.2421288,640.0498573
27/12/1981,446.4974368,467.0458635,419.6946453,524.8557483,511.5332266
28/12/1981,460.580488,461.5751809,384.5208334,462.4974509,454.8718816
29/12/1981,412.7374691,498.387641,402.5475151,475.8446465,471.9918251
30/12/1981,342.9838061,425.669982,357.5112259,415.0043589,421.9366479
31/12/1981,303.2094489,351.9519878,305.5676833,351.709397,354.7359479
01/01/1982,482.2642155,429.0572611,353.4538691,404.2532016,425.5303726
02/01/1982,728.951854,597.9577994,510.5818154,586.7894243,607.6948296
03/01/1982,545.4468939,508.0466645,439.740558,495.1321145,556.0431724
04/01/1982,782.0171529,656.8938281,622.5086896,826.7557518,799.056027
05/01/1982,2020.316515,1866.649965,1776.950266,2457.913849,2548.507084
06/01/1982,1716.783578,1808.701899,1838.610445,2098.233449,2466.556044
07/01/1982,1205.399969,1293.073569,1295.213002,1440.284455,1706.02144
08/01/1982,917.4061026,971.5748085,981.1942158,1047.966142,1253.980557
09/01/1982,732.7925194,776.4813278,795.7301423,815.2220664,979.1392201
10/01/1982,597.4251069,637.5776816,654.7649828,670.0372874,796.0670555
11/01/1982,496.7770015,530.6413515,543.1545101,560.9321044,656.9613729
12/01/1982,425.7920778,447.569807,454.7181608,472.6036959,540.8056663
